id,sku,barcode,name,url,price,currency,description_html,usage_text,warnings_text,storage_text,created_at
11,000008-A,000008-A,SEPE NATURAL Astragalus Çin Geveni Ekstresi 90 Kapsül x 430 mg,https://www.sepenatural.com.tr/urun/astragalus-root-extract-90-kapsul-cin-geveni-ekstresi,709.99,TL,,SEPE NATURAL Astragalus Çin Geveni Ekstresi Kullanımı Nasıl Önerilir?,Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:31
12,000009-A,000009-A,GOVital Gotu Kola Üzüm Çekirdeği Isırgan Ektreleri Likopen Çinko Kompleks 60 Kapsül x 425 mg SEPE,https://www.sepenatural.com.tr/urun/govital-60-kapsul-425-mg,1049.99,TL,,"Yetişkinler için, tercihen günde 2 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç kanına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:33
13,000010-A,000010-A,VitalQR Kolin L-Arjinin Koenzim Q10 Resveratrol Kuersetin Sitikolin Vit. K 60 Kapsül X 405 mg SEPE,https://www.sepenatural.com.tr/urun/vitalqr-60-kapsul-405-mg,909.99,TL,,"Yetişkinler için, tercihen günde 2 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç kanına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:35
14,000012-A,000012-A,SEPE NATURAL Cat's Claw Kedi Pençesi Ekstresi 90 Kapsül x 360 mg,https://www.sepenatural.com.tr/urun/cats-claw-extract-90-kapsul-360-mg-kedi-pencesi-ekstrakt-ekstre,569.99,TL,,"Kedi Pençesi; doğal yapısında bulunan oksindol alkaloidleri, polifenoller ve bitkisel tanenler ile öne çıkan tropik bir sarmaşık bitkisidir. Geleneksel kullanımıyla bilinen bu bitki, son yıllarda bitkisel rutinlere doğal bir dokunuş katmak isteyenlerin dikkatini çekmektedir. Güçlü bitkisel profili ve kökene dayalı zenginliği sayesinde doğadan ilham alan içeriklere ilgi duyanların sık tercih ettiği ekstraktlar arasında yer alır.","Kedi Pençesi; doğal yapısında bulunan oksindol alkaloidleri, polifenoller ve bitkisel tanenler ile öne çıkan tropik bir sarmaşık bitkisidir. Geleneksel kullanımıyla bilinen bu bitki, son yıllarda bitkisel rutinlere doğal bir dokunuş katmak isteyenlerin dikkatini çekmektedir. Güçlü bitkisel profili ve kökene dayalı zenginliği sayesinde doğadan ilham alan içeriklere ilgi duyanların sık tercih ettiği ekstraktlar arasında yer alır.","Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:37
15,000415-A,000415-A,Defne Şampuanı 250 ml Yağlı Saçlar İçin,https://www.sepenatural.com.tr/urun/defne-sampuani-250-ml-yagli-saclar-icin,30.0,TL,,Yağlı saçlar için önerilen şampuandır.,-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:19:39
16,000419-A,000419-A,Isırgan Özlü Şampuan 250 ml Kepekli ve Kuru Saçlar İçin,https://www.sepenatural.com.tr/urun/isirgan-ozlu-sampuan-250-ml,25.0,TL,,"Ambalaj
			250 ml Beyaz Plastik Şişe
			 
Ambalaj Ölçü Detayları

185 mm x 50 mm
 

Yasal ve Önemli Uyarılar
-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. 
-  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.
-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.
-  Göz temasından kaçınınız.
-  Harici kullanım içindir.","-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. 
-  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.
-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.
-  Göz temasından kaçınınız.
-  Harici kullanım içindir.",,2026-02-12 13:19:40
17,000085-A,000085-A,SEPE NATURAL Tribulus Demir Dikeni Ekstresi 90 Kapsül x 480mg,https://www.sepenatural.com.tr/urun/tribulus-extract-90-kapsul-480-mg-demir-dikeni-ekstrakt-ekstre,569.99,TL,,"Yetişkinler için, tercihen günde 2 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç kanına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:42
18,000082-A,000082-A,"SEPE NATURAL Spirulina 90 Kapsül x 380 mg Yosun, Mavi Yeşil Alg",https://www.sepenatural.com.tr/urun/spirulina-90-kapsul-sepe-natural-siprulina-yosun-hapi,589.99,TL,,"Yetişkinler için, tercihen günde 3 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç kanına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:44
19,000077-A,000077-A,SEPE NATURAL Saw Palmetto Cüce Palmiye Ekstresi 60 Kapsül x 400 mg,https://www.sepenatural.com.tr/urun/saw-palmetto-extract-60-kapsul-400-mg-ekstrakt-cuce-palmiye-ekstresi,559.99,TL,,"Yetişkinler için, tercihen günde 2 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç kanına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:45
20,000075-A,000075-A,"SEPE NATURAL Rodiola, Propolis, Folik Asit ve B Vitamin Kompleks 60 Kapsül x 387 mg Rhodiola",https://www.sepenatural.com.tr/urun/rhodiola-extract-vitamins-60-kapsul-387-mg-rodiola-rodiyola,639.99,TL,,Sepe Natural Rhodiola Rosea Kapsül Kullanım Önerisi - Sepe Natural Rhodiola Rosea Kapsül Nasıl Kullanılır?,"-   Oda Sıcaklığında, serin ve kuru yerde, rutubetten/nemden, güneş ışınlarından koruyarak, ağzı kapalı şekilde, çocukların ulaşamayacağı yerde muhafaza ediniz.","-   Oda Sıcaklığında, serin ve kuru yerde, rutubetten/nemden, güneş ışınlarından koruyarak, ağzı kapalı şekilde, çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:47
21,000063-A,000063-A,"MgS, L-Carnitin, Chitosan, Spirulina, Green Coffee Garcinia Ekstreleri Krom 90 Kapsül x 920 mg SEPE",https://www.sepenatural.com.tr/urun/l-karnitin-citosan-spirulina-kapsul-90,989.99,TL,,"Yetişkinler için, tercihen günde 2 defa 1 kapsül ya da sağlık uzmanınızın talimatlarına göre alınır. Yemeklerle birlikte veya aç kanına kullanılabilir.",Tavsiye edilen günlük porsiyonu aşmayın.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:48
22,000052-A,000052-A,SEPE NATURAL Cordyceps Kordisep Mantar Ekstresi 90 Kapsül x 430 mg,https://www.sepenatural.com.tr/urun/cordyceps-extract-90-kapsul-430-mg-kordisep-mantar-ekstresi,669.99,TL,,SEPE NATURAL Cordyceps Kordisep Mantar Ekstresi Kapsül Formdadır. Her kapsül 430 mg'dır. Her ambalajda 90 kapsül bulunmaktadır.,SEPE NATURAL Cordyceps Kordisep Mantar Ekstresi Kapsül Formdadır. Her kapsül 430 mg'dır. Her ambalajda 90 kapsül bulunmaktadır.,"Oda sıcaklığında, güneş ışınlarından koruyarak, serin ve kuru yerde, ağzı kapalı bir şekilde çocukların ulaşamayacağı yerde muhafaza ediniz.",2026-02-12 13:19:50
23,000426-A,000426-A,"Selenyum Şampuanı Şampuan 250 ml Kepekli, Cansız Kuru Saçlar İçin",https://www.sepenatural.com.tr/urun/selenyum-sampuani-250-ml,30.0,TL,,"Ambalaj250 ml Beyaz Plastik Şişe Ambalaj Ölçü Detayları
185 mm x 50 mm
 

Yasal ve Önemli Uyarılar
-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.",-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:19:52
24,000413-A,000413-A,Çinkolu Keratinli Şampuan 250 ml Cansız ve Geç Uzayan Saçlar İçin,https://www.sepenatural.com.tr/urun/cinkolu-keratinli-sampuan-250-ml,25.0,TL,,"Ambalaj
			250 ml Beyaz Plastik Şişe
			 
Ambalaj Ölçü Detayları

185 mm x 50 mm
 

Yasal ve Önemli Uyarılar
-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. 
-  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.
-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.
-  Göz temasından kaçınınız.
-  Harici kullanım içindir.","-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. 
-  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.
-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.
-  Göz temasından kaçınınız.
-  Harici kullanım içindir.",,2026-02-12 13:19:53
25,000427-A,000427-A,Şeftalili Keratinli Şampuan 250 ml Geç Uzayan Saçlar İçin,https://www.sepenatural.com.tr/urun/seftalili-keratinli-sampuan-250-ml,30.0,TL,,"Ambalaj250 ml Beyaz Plastik Şişe Ambalaj Ölçü Detayları
185 mm x 50 mm
 

Yasal ve Önemli Uyarılar
-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.",-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:19:55
26,000425-A,000425-A,Papatya Özlü Keratin Şampuan 250 ml Canlı ve Parlak Saçlar İçin,https://www.sepenatural.com.tr/urun/papatya-ozlu-keratin-sampuan-250ml,30.0,TL,,"Ambalaj
				250 ml Beyaz Plastik Şişe
				 
Ambalaj Ölçü Detayları

185 mm x 50 mm
 

Yasal ve Önemli Uyarılar
-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. 
-  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.
-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.
-  Göz temasından kaçınınız.
-  Harici kullanım içindir.","-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. 
-  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.
-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.
-  Göz temasından kaçınınız.
-  Harici kullanım içindir.",,2026-02-12 13:19:57
27,000421-A,000421-A,Keratinli Şampuan 250 ml Kırılan ve Geç Uzayan Saçlar İçin,https://www.sepenatural.com.tr/urun/keratin-sampuan-250ml,30.0,TL,,"Ambalaj250 ml Beyaz Plastik Şişe Ambalaj Ölçü Detayları
185 mm x 50 mm
 

Yasal ve Önemli Uyarılar
-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.",-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:19:58
28,000417-A,000417-A,Fo-Ti Keratinli Şampuan 250 ml Zayıf ve İşlem Görmüş Saçlar İçin,https://www.sepenatural.com.tr/urun/fo-ti-keratinli-sampuan-250-ml,30.0,TL,,"Ambalaj250 ml Beyaz Plastik Şişe Ambalaj Ölçü Detayları
185 mm x 50 mm
 

Yasal ve Önemli Uyarılar
-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.",-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:20:00
29,000416-A,000416-A,Emu Yağı Keratinli Şampuan 250 ml Zayıf ve Kırılmış Saçlar İçin,https://www.sepenatural.com.tr/urun/emu-yagi-keratinli-sampuan-250ml,30.0,TL,,Zayıf ve Kırılmış saçlar için önerilen şampuandır.,-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:20:02
30,000409-A,000409-A,Argan Yağlı Keratinli Şampuan 250 ml Cansız Yıpranmış Kuru Saç,https://www.sepenatural.com.tr/urun/argan-yagli-keratinli-sampuan-250-ml,30.0,TL,,,-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen bir alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:20:03
31,000410-A,000410-A,Arı Sütü Propolis Bal Keratinli Şampuan 250 ml Mat İşlem Görmüş,https://www.sepenatural.com.tr/urun/ari-sutu-propolis-bal-sampuani-keratinli-250,30.0,TL,,"Ambalaj250 ml Beyaz Plastik Şişe Ambalaj Ölçü Detayları
185 mm x 50 mm
 

Yasal ve Önemli Uyarılar
-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.",-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:20:05
32,000428-A,000428-A,Zeytinyağlı Şampuan 250 ml Normal Saçlar İçin,https://www.sepenatural.com.tr/urun/zeytinyagli-sampuan-250-ml,30.0,TL,,"Ambalaj250 ml Beyaz Plastik Şişe Ambalaj Ölçü Detayları
185 mm x 50 mm
 

Yasal ve Önemli Uyarılar
-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.",-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:20:06
33,000411-A,000411-A,Aynısafa Calendula Keratinli Şampuan 250 ml Zayıf ve Kırılan Saç,https://www.sepenatural.com.tr/urun/aynisafa-calendula-keratinli-sampuan-250-ml,30.0,TL,,Zayıf ve kırılan saçlar için önerilen şampuandır.,-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:20:08
34,000449-A,000449-A,Acı Badem Yağlı El ve Vücut Bakım Kremi 150 ml,https://www.sepenatural.com.tr/urun/aci-badem-yagli-el-ve-vucut-kremi-150ml,30.0,TL,,,"-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. 
-  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.",-  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.,2026-02-12 13:20:09
35,000390-A,000390-A,Çam Terebentinli Keratinli Şampuan 400 ml Zayıf Saçlar İçin,https://www.sepenatural.com.tr/urun/cam-terebentinli-keratinli-sampuan-400-ml-zayif-saclar-icin,50.0,TL,,"Ambalaj400 ml Beyaz Plastik Şişe Ambalaj Ölçü Detayları
170 mm x 66 mm
 

Yasal ve Önemli Uyarılar
-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen bir alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.",-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen bir alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:20:11
36,000389-A,000389-A,Aynısafa Calendula Keratinli Şampuan 400 ml Zayıf ve Kırılan Saç,https://www.sepenatural.com.tr/urun/aynisafa-calendula-keratinli-sampuan-400-ml,50.0,TL,,Zayıf ve kırılan saçlar için önerilen şampuandır.,-  Çocukların ulaşamayacağı yerde ağzı kapalı olarak muhafaza ediniz. -  İlaç değildir. Hastalıkların önlenmesi veya tedavi edilmesi amacıyla kullanılmaz.-  İçeriğindeki bileşene karşı bilinen bir alerjiniz varsa kullanmayınız.-  Göz temasından kaçınınız.-  Harici kullanım içindir.,,2026-02-12 13:20:13
